uri,sourcetable,id_value,id_uri,value,src_table
entities/P3GHgC9,TakedaUSCAM,32750440,entities/P3GHgC9/attributes/Identifiers/zK7b720n,0001AB000005773,TakedaUSCAM
entities/PwyJ0mk,TakedaUSCAM,70433028,entities/PwyJ0mk/attributes/Identifiers/1BhKOEQeE,0001AB001171234,TakedaUSCAM
entities/1Pbe70CV,TakedaUSCAM,43214200,entities/1Pbe70CV/attributes/Identifiers/34qCJo1Pz,0001AB000008959,TakedaUSCAM
entities/1PcP9XAt,TakedaUSCAM,94710159,entities/1PcP9XAt/attributes/Identifiers/34sYvVtmR,0001AB001130476,TakedaUSCAM
entities/1PcDkUAh,TakedaUSCAM,90502250,entities/1PcDkUAh/attributes/Identifiers/34s0Uu6yl,0001AB000482260,TakedaUSCAM
entities/1PcDkUAh,TakedaUSCAM,90502250,entities/1PcDkUAh/attributes/Identifiers/34s0Uu6yl,0001AB000482260,TakedaUSCAM
entities/PxEXNWY,TakedaUSCAM,97520200,entities/PxEXNWY/attributes/Identifiers/1Bi7mj4Zq,0001AB000016485,TakedaUSCAM
entities/dSpQ02B,TakedaUSCAM,78666202,entities/dSpQ02B/attributes/Identifiers/1wBqDdAnf,0001AB001099163,TakedaUSCAM
entities/1LL7jM4I,TakedaUSCAM,48813200,entities/1LL7jM4I/attributes/Identifiers/3PE6BZibC,0001AB000144923,TakedaUSCAM
entities/1LL7kBDO,TakedaUSCAM,38116200,entities/1LL7kBDO/attributes/Identifiers/3PE6DQamQ,0001AB000008399,TakedaUSCAM
entities/19sxHWv0,TakedaUSCAM,54017202,entities/19sxHWv0/attributes/Identifiers/2puMPZ1DK,0001AB000010601,TakedaUSCAM
entities/Y1yrPfu,TakedaUSCAM,36305200,entities/Y1yrPfu/attributes/Identifiers/143mYVoYM,0001AB000008076,TakedaUSCAM
entities/1Pc0EXt9,TakedaUSCAM,79412200,entities/1Pc0EXt9/attributes/Identifiers/34rJJBlnT,0001AB001173312,TakedaUSCAM
entities/1Pc0EXt9,TakedaUSCAM,79412200,entities/1Pc0EXt9/attributes/Identifiers/34rJJBlnT,0001AB001173312,TakedaUSCAM
entities/SaKb6DV,TakedaUSCAM,02021429,entities/SaKb6DV/attributes/Identifiers/1a6aPylMr,0001AB001051981,TakedaUSCAM
entities/1PcDfbYN,TakedaUSCAM,54961201,entities/1PcDfbYN/attributes/Identifiers/34s0MH44F,0001AB000900529,TakedaUSCAM
entities/Y1FmUa2,TakedaUSCAM,32504206,entities/Y1FmUa2/attributes/Identifiers/2pu6DUaDW,0001AB000105598,TakedaUSCAM
entities/19t9ieJi,TakedaUSCAM,33805207,entities/19t9ieJi/attributes/Identifiers/2puzmJX6s,0001AB000007608,TakedaUSCAM
entities/PwtbOQ2,TakedaUSCAM,60611218,entities/PwtbOQ2/attributes/Identifiers/uQrz9ZBY,0001AB000284176,TakedaUSCAM
entities/1BzGAAnR,TakedaUSCAM,63379200,entities/1BzGAAnR/attributes/Identifiers/2z0CgVzij,0001AB001145931,TakedaUSCAM
entities/1Pbe7xs7,TakedaUSCAM,14901201,entities/1Pbe7xs7/attributes/Identifiers/34qCMMTqp,0001AB000240021,TakedaUSCAM
entities/19sefI86,TakedaUSCAM,15650200,entities/19sefI86/attributes/Identifiers/2ptRtV3nq,0001AB000003243,TakedaUSCAM
entities/dSuO7Kp,TakedaUSCAM,79549200,entities/dSuO7Kp/attributes/Identifiers/2Fp5rHXTn,0001AB000192640,TakedaUSCAM
entities/1BztPyPh,TakedaUSCAM,47405150,entities/1BztPyPh/attributes/Identifiers/2z2AU9lQH,0001AB000009725,TakedaUSCAM
entities/1BzdJvP7,TakedaUSCAM,54619151,entities/1BzdJvP7/attributes/Identifiers/2z1LAbYsz,0001AB001131211,TakedaUSCAM
entities/1BzY71iz,TakedaUSCAM,95476175,entities/1BzY71iz/attributes/Identifiers/2z15I4ptp,0001AB000488161,TakedaUSCAM
entities/1LL99UF8,TakedaUSCAM,75248415,entities/1LL99UF8/attributes/Identifiers/3PEASJHMA,0001AB000313793,TakedaUSCAM
entities/1Pbe62Wt,TakedaUSCAM,35768202,entities/1Pbe62Wt/attributes/Identifiers/34qCHJkyt,0001AB001171086,TakedaUSCAM
entities/Pwqmi6I,TakedaUSCAM,98108157,entities/Pwqmi6I/attributes/Identifiers/1BgyG271i,0001AB001130417,TakedaUSCAM
entities/1PcDf7iZ,TakedaUSCAM,51360200,entities/1PcDf7iZ/attributes/Identifiers/34s0LCJRf,0001AB000003910,TakedaUSCAM
entities/EtKq89p,TakedaUSCAM,73108550,entities/EtKq89p/attributes/Identifiers/iWW9fdK5,0001AB000173497,TakedaUSCAM
entities/1LLScagU,TakedaUSCAM,54801200,entities/1LLScagU/attributes/Identifiers/3PF7pMgSw,0001AB001113418,TakedaUSCAM
entities/19DEzbd5,TakedaUSCAM,36106203,entities/19DEzbd5/attributes/Identifiers/2FoIMcSmZ,0001AB000146012,TakedaUSCAM
entities/19D4jISR,TakedaUSCAM,12208212,entities/19D4jISR/attributes/Identifiers/2puMNI9uY,0001AB001098101,TakedaUSCAM
entities/Y1b9q3G,TakedaUSCAM,52136202,entities/Y1b9q3G/attributes/Identifiers/142IxuXYI,0001AB001178136,TakedaUSCAM
entities/1LL7kO0A,TakedaUSCAM,33428200,entities/1LL7kO0A/attributes/Identifiers/3PE6Dn8n4,0001AB000001424,TakedaUSCAM
entities/Y1Emtco,TakedaUSCAM,60805200,entities/Y1Emtco/attributes/Identifiers/1u7bZw8hT,0001AB000011606,TakedaUSCAM
entities/bzvhBbD,TakedaUSCAM,43812200,entities/bzvhBbD/attributes/Identifiers/zJRfPDXN,0001AB000009038,TakedaUSCAM
entities/1BnSmxbb,TakedaUSCAM,02905203,entities/1BnSmxbb/attributes/Identifiers/2pw0Pslr4,0001AB000001719,TakedaUSCAM
entities/P2RX3Y1,TakedaUSCAM,34102201,entities/P2RX3Y1/attributes/Identifiers/2z16ptckz,0001AB000007685,TakedaUSCAM
entities/NNLLf3E,TakedaUSCAM,68118162,entities/NNLLf3E/attributes/Identifiers/1Oaaspt3M,0001AB000299063,TakedaUSCAM
entities/Et18B4j,TakedaUSCAM,83404205,entities/Et18B4j/attributes/Identifiers/1u7rrXXwl,0001AB000014589,TakedaUSCAM
entities/bzmFKtz,TakedaUSCAM,94583204,entities/bzmFKtz/attributes/Identifiers/1w9DvAr5T,0001AB000015981,TakedaUSCAM
entities/bzmGIZb,TakedaUSCAM,98801202,entities/bzmGIZb/attributes/Identifiers/1w9DxKMKd,0001AB000016306,TakedaUSCAM
entities/19Dfy7LX,TakedaUSCAM,29572184,entities/19Dfy7LX/attributes/Identifiers/2FpeXAVF5,0001AB000136875,TakedaUSCAM
entities/Y1Gn7T8,TakedaUSCAM,74344200,entities/Y1Gn7T8/attributes/Identifiers/141Is3eL4,0001AB001161168,TakedaUSCAM
entities/NNHg2om,TakedaUSCAM,71342200,entities/NNHg2om/attributes/Identifiers/1a7jtlGZZ,0001AB000304972,TakedaUSCAM
entities/1PbVqdp9,TakedaUSCAM,89511420,entities/1PbVqdp9/attributes/Identifiers/34pnP9Qbf,0001AB001144055,TakedaUSCAM
entities/NMhvcMW,TakedaUSCAM,95971200,entities/NMhvcMW/attributes/Identifiers/1OYh9KJdc,0001AB000016249,TakedaUSCAM
entities/19DF01Cd,TakedaUSCAM,30224202,entities/19DF01Cd/attributes/Identifiers/2FoINSVHv,0001AB000005205,TakedaUSCAM
entities/c0OEYnH,TakedaUSCAM,79407150,entities/c0OEYnH/attributes/Identifiers/1BjGiuJGA,0001AB001171282,TakedaUSCAM
entities/Sa7djpl,TakedaUSCAM,48183613,entities/Sa7djpl/attributes/Identifiers/1wAHGQtyJ,0001AB001131910,TakedaUSCAM
entities/Y1ytGks,TakedaUSCAM,98908167,entities/Y1ytGks/attributes/Identifiers/1Oawg1t36,0001AB001188117,TakedaUSCAM
entities/P2UeqlV,TakedaUSCAM,08736170,entities/P2UeqlV/attributes/Identifiers/iWIlkWCP,0001AB001188346,TakedaUSCAM
entities/Y1GnBjO,TakedaUSCAM,18510203,entities/Y1GnBjO/attributes/Identifiers/141IsHKWQ,0001AB000003495,TakedaUSCAM
entities/NN4TQDk,TakedaUSCAM,28712202,entities/NN4TQDk/attributes/Identifiers/1OZlYqBcq,0001AB001100014,TakedaUSCAM
entities/1BzMeCIb,TakedaUSCAM,14605157,entities/1BzMeCIb/attributes/Identifiers/2FqOmJcJ9,0001AB001131312,TakedaUSCAM
entities/19DSWzQ3,TakedaUSCAM,77338169,entities/19DSWzQ3/attributes/Identifiers/2FoyQCInz,0001AB000320966,TakedaUSCAM
entities/Y1RHrhy,TakedaUSCAM,98506203,entities/Y1RHrhy/attributes/Identifiers/141olTiYE,0001AB000016684,TakedaUSCAM
entities/Y1RHrhy,TakedaUSCAM,98506203,entities/Y1RHrhy/attributes/Identifiers/141olTiYE,0001AB000016684,TakedaUSCAM
entities/Y1RI8l0,TakedaUSCAM,98405216,entities/Y1RI8l0/attributes/Identifiers/141om8Pn0,0001AB001099955,TakedaUSCAM
entities/1LM5e1Uo,TakedaUSCAM,95608622,entities/1LM5e1Uo/attributes/Identifiers/3PH4m35x4,0001AB001190584,TakedaUSCAM
entities/19Cw2kAl,TakedaUSCAM,53051152,entities/19Cw2kAl/attributes/Identifiers/1ObTykVAS,0001AB000010438,TakedaUSCAM
entities/P2p4Jpx,TakedaUSCAM,39232193,entities/P2p4Jpx/attributes/Identifiers/uSBpJHPs,0001AB000008559,TakedaUSCAM
entities/1PbZiq2p,TakedaUSCAM,03755151,entities/1PbZiq2p/attributes/Identifiers/1BigZuWJi,0001AB000053473,TakedaUSCAM
entities/1PbZya5v,TakedaUSCAM,02135202,entities/1PbZya5v/attributes/Identifiers/34rBTypqx,0001AB000001593,TakedaUSCAM
entities/1Pc0DAdz,TakedaUSCAM,82301203,entities/1Pc0DAdz/attributes/Identifiers/34rJG2jrL,0001AB001180404,TakedaUSCAM
entities/1Pbe7gp5,TakedaUSCAM,66762200,entities/1Pbe7gp5/attributes/Identifiers/34qCLjdh1,0001AB001058742,TakedaUSCAM
entities/Y1RI8l0,TakedaUSCAM,98405212,entities/Y1RI8l0/attributes/Identifiers/141om8l6I,0001AB000016659,TakedaUSCAM
entities/1C00ICDh,TakedaUSCAM,52591200,entities/1C00ICDh/attributes/Identifiers/2z2UuW2RV,0001AB000145194,TakedaUSCAM
entities/1LL7lLfm,TakedaUSCAM,49930205,entities/1LL7lLfm/attributes/Identifiers/142WxREMU,0001AB000888928,TakedaUSCAM
entities/c0SVzFf,TakedaUSCAM,19061301,entities/c0SVzFf/attributes/Identifiers/1wBJRbexr,0001AB001187648,TakedaUSCAM
entities/NN4ThGm,TakedaUSCAM,57438201,entities/NN4ThGm/attributes/Identifiers/1OZlZKITs,0001AB000177864,TakedaUSCAM
entities/1BzPuvbd,TakedaUSCAM,44145554,entities/1BzPuvbd/attributes/Identifiers/2z0fqYD6v,0001AB001166914,TakedaUSCAM
entities/IIc1eQy,TakedaUSCAM,72401217,entities/IIc1eQy/attributes/Identifiers/uQNVrKV6,0001AB001182332,TakedaUSCAM
entities/19secKr0,TakedaUSCAM,03104250,entities/19secKr0/attributes/Identifiers/2ptRo8wz8,0001AB000464670,TakedaUSCAM
entities/SZoR445,TakedaUSCAM,20782200,entities/SZoR445/attributes/Identifiers/1a4zE9VMj,0001AB000095760,TakedaUSCAM
entities/1LLUU0xm,TakedaUSCAM,24014202,entities/1LLUU0xm/attributes/Identifiers/3PFDXs1dK,0001AB000004262,TakedaUSCAM
entities/Y1RHevC,TakedaUSCAM,37033200,entities/Y1RHevC/attributes/Identifiers/141ol5WFO,0001AB000146106,TakedaUSCAM
entities/dTDzOyt,TakedaUSCAM,29150165,entities/dTDzOyt/attributes/Identifiers/1u8Gjh3At,0001AB000004919,TakedaUSCAM
entities/SZtAsp3,TakedaUSCAM,53051551,entities/SZtAsp3/attributes/Identifiers/1a5Dl756L,0001AB000904567,TakedaUSCAM
entities/1LL7kamw,TakedaUSCAM,08205201,entities/1LL7kamw/attributes/Identifiers/3PE6ECe4o,0001AB000055110,TakedaUSCAM
entities/1Pbe7YIZ,TakedaUSCAM,47421201,entities/1Pbe7YIZ/attributes/Identifiers/34qCLLmhT,0001AB000009733,TakedaUSCAM
entities/IIRWlfc,TakedaUSCAM,46970200,entities/IIRWlfc/attributes/Identifiers/1a7PZtdPp,0001AB000009675,TakedaUSCAM
entities/19t9jCPm,TakedaUSCAM,54615200,entities/19t9jCPm/attributes/Identifiers/2puznX9Yk,0001AB000010664,TakedaUSCAM
entities/19tXgJIk,TakedaUSCAM,33573190,entities/19tXgJIk/attributes/Identifiers/2pwAlG2cA,0001AB001183794,TakedaUSCAM
entities/dT5l2D1,TakedaUSCAM,89014551,entities/dT5l2D1/attributes/Identifiers/1u7rX6MJr,0001AB001194610,TakedaUSCAM
entities/bzmFTQV,TakedaUSCAM,71291200,entities/bzmFTQV/attributes/Identifiers/1w9DvZoH9,0001AB000012863,TakedaUSCAM
entities/1BnVLYYx,TakedaUSCAM,32796602,entities/1BnVLYYx/attributes/Identifiers/2qsA98RtP,0001AB000164986,TakedaUSCAM
entities/EszzAC9,TakedaUSCAM,90033624,entities/EszzAC9/attributes/Identifiers/iVUx3HKD,0001AB001130661,TakedaUSCAM
entities/NN4SfKu,TakedaUSCAM,62839200,entities/NN4SfKu/attributes/Identifiers/1OZlXEELc,0001AB000002151,TakedaUSCAM
entities/19sefI86,TakedaUSCAM,15650202,entities/19sefI86/attributes/Identifiers/2ptRtNhkE,0001AB000063146,TakedaUSCAM
entities/Y1sYO82,TakedaUSCAM,91722011,entities/Y1sYO82/attributes/Identifiers/143CdyGGI,0001AB000355569,TakedaUSCAM
entities/Y1sYO82,TakedaUSCAM,91722011,entities/Y1sYO82/attributes/Identifiers/143CdyGGI,0001AB000355569,TakedaUSCAM
entities/19tXb5N8,TakedaUSCAM,30143170,entities/19tXb5N8/attributes/Identifiers/2pwAYXWsA,0001AB000242409,TakedaUSCAM
entities/P2k2lQP,TakedaUSCAM,44663551,entities/P2k2lQP/attributes/Identifiers/zIWIp3UP,0001AB001175903,TakedaUSCAM
entities/dT5ruQp,TakedaUSCAM,37232208,entities/dT5ruQp/attributes/Identifiers/1u7rrLAkJ,0001AB000096173,TakedaUSCAM
entities/P2ZSAtd,TakedaUSCAM,43202551,entities/P2ZSAtd/attributes/Identifiers/zI0pIg6r,0001AB001179691,TakedaUSCAM
entities/NMzuOdI,TakedaUSCAM,14605155,entities/NMzuOdI/attributes/Identifiers/1OZXPR2dY,0001AB001131310,TakedaUSCAM
entities/EszxrDF,TakedaUSCAM,17403214,entities/EszxrDF/attributes/Identifiers/2z0uJ94CH,0001AB000003385,TakedaUSCAM
entities/EtMOmqf,TakedaUSCAM,60187502,entities/EtMOmqf/attributes/Identifiers/iWazbjG5,0001AB001184891,TakedaUSCAM
entities/19DcIV75,TakedaUSCAM,78229482,entities/19DcIV75/attributes/Identifiers/2FpTKmId9,0001AB001197695,TakedaUSCAM
entities/SZrU2vV,TakedaUSCAM,56062201,entities/SZrU2vV/attributes/Identifiers/1u9mPUM3r,0001AB000156474,TakedaUSCAM
entities/dTJy4uN,TakedaUSCAM,98072550,entities/dTJy4uN/attributes/Identifiers/1u8YaHDpX,0001AB000372284,TakedaUSCAM
entities/SZqJraX,TakedaUSCAM,30342213,entities/SZqJraX/attributes/Identifiers/iWDS3yiX,0001AB000005273,TakedaUSCAM
entities/1LL6uPl4,TakedaUSCAM,43402250,entities/1LL6uPl4/attributes/Identifiers/1OauZjnYi,0001AB001172939,TakedaUSCAM
entities/EtMzuS1,TakedaUSCAM,60461202,entities/EtMzuS1/attributes/Identifiers/iWceF1lJ,0001AB000162565,TakedaUSCAM
entities/dT2jQal,TakedaUSCAM,58501413,entities/dT2jQal/attributes/Identifiers/1u7iAgW0N,0001AB000151683,TakedaUSCAM
entities/dT04Zlv,TakedaUSCAM,34761200,entities/dT04Zlv/attributes/Identifiers/1u7ZrwCL1,0001AB000007867,TakedaUSCAM
entities/dT06qQR,TakedaUSCAM,78550212,entities/dT06qQR/attributes/Identifiers/1u7ZvQocB,0001AB001168861,TakedaUSCAM
entities/1LLMQN6A,TakedaUSCAM,80045210,entities/1LLMQN6A/attributes/Identifiers/3cMXxr,0001AB001099480,TakedaUSCAM
entities/19slzDc6,TakedaUSCAM,98383170,entities/19slzDc6/attributes/Identifiers/2ptnzbRoc,0001AB000382848,TakedaUSCAM
entities/NMhvp9I,TakedaUSCAM,93721202,entities/NMhvp9I/attributes/Identifiers/iX3liHGj,0001AB000015868,TakedaUSCAM
entities/dSq3b4p,TakedaUSCAM,55303164,entities/dSq3b4p/attributes/Identifiers/iYTI95KT,0001AB000272728,TakedaUSCAM
entities/Y1RKcCI,TakedaUSCAM,15801200,entities/Y1RKcCI/attributes/Identifiers/34rBUjAat,0001AB000003255,TakedaUSCAM
entities/P3TQJaD,TakedaUSCAM,96826169,entities/P3TQJaD/attributes/Identifiers/zKlCSRbF,0001AB000384592,TakedaUSCAM
entities/19DlrE27,TakedaUSCAM,37067627,entities/19DlrE27/attributes/Identifiers/2Fpw4QVXv,0001AB001220649,TakedaUSCAM
entities/bzmFPAF,TakedaUSCAM,19107214,entities/bzmFPAF/attributes/Identifiers/1w9DvSJh1,0001AB000003623,TakedaUSCAM
entities/P2nBWJV,TakedaUSCAM,10028189,entities/P2nBWJV/attributes/Identifiers/1a6aYRymT,0001AB001181793,TakedaUSCAM
entities/Y1GfLpy,TakedaUSCAM,61740550,entities/Y1GfLpy/attributes/Identifiers/141IPbqNu,0001AB000011014,TakedaUSCAM
entities/1Pc0DRh1,TakedaUSCAM,97227210,entities/1Pc0DRh1/attributes/Identifiers/34rJGbaoB,0001AB000016417,TakedaUSCAM
entities/PxifkKE,TakedaUSCAM,40353175,entities/PxifkKE/attributes/Identifiers/1wBgtwJ2V,0001AB001130937,TakedaUSCAM
entities/dT02mxD,TakedaUSCAM,60525200,entities/dT02mxD/attributes/Identifiers/1u7ZojNyh,0001AB000011516,TakedaUSCAM
entities/1PcCw5xX,TakedaUSCAM,27546161,entities/1PcCw5xX/attributes/Identifiers/34rxwFvId,0001AB001131418,TakedaUSCAM
entities/P2Q4eif,TakedaUSCAM,06610206,entities/P2Q4eif/attributes/Identifiers/34s0K1zaB,0001AB000007495,TakedaUSCAM
entities/Et0WA41,TakedaUSCAM,87571200,entities/Et0WA41/attributes/Identifiers/1w9uoFn1T,0001AB000014994,TakedaUSCAM
entities/P3574G9,TakedaUSCAM,33614439,entities/P3574G9/attributes/Identifiers/zJZZY8eX,0001AB000891284,TakedaUSCAM
entities/P2RSrYH,TakedaUSCAM,89523166,entities/P2RSrYH/attributes/Identifiers/34rBXQlu3,0001AB001158414,TakedaUSCAM
entities/c02SsUh,TakedaUSCAM,57104551,entities/c02SsUh/attributes/Identifiers/1wA1IuXup,0001AB000879824,TakedaUSCAM
entities/PwuiTxO,TakedaUSCAM,85713203,entities/PwuiTxO/attributes/Identifiers/1Ob2peTEi,0001AB001049927,TakedaUSCAM
entities/Pwuja9W,TakedaUSCAM,19104214,entities/Pwuja9W/attributes/Identifiers/uSb6R8mO,0001AB000003621,TakedaUSCAM
entities/SZosMAX,TakedaUSCAM,36207200,entities/SZosMAX/attributes/Identifiers/3PGZpMLN4,0001AB000008064,TakedaUSCAM
entities/1LLyTVwA,TakedaUSCAM,58623201,entities/1LLyTVwA/attributes/Identifiers/3PGjNWXyk,0001AB001181008,TakedaUSCAM
entities/P2rgYgz,TakedaUSCAM,97030550,entities/P2rgYgz/attributes/Identifiers/zItaKOv3,0001AB000375564,TakedaUSCAM
entities/1PbznfMF,TakedaUSCAM,99163200,entities/1PbznfMF/attributes/Identifiers/34rHpZwLv,0001AB000016760,TakedaUSCAM
entities/19stPbkM,TakedaUSCAM,85012200,entities/19stPbkM/attributes/Identifiers/1wAIC3ogh,0001AB000014786,TakedaUSCAM
entities/EtKoH4r,TakedaUSCAM,21157552,entities/EtKoH4r/attributes/Identifiers/iWW6zKzp,0001AB001184942,TakedaUSCAM
entities/SZkca0L,TakedaUSCAM,14740500,entities/SZkca0L/attributes/Identifiers/1a4ngLCnF,0001AB000059611,TakedaUSCAM
entities/Y1F9Eqg,TakedaUSCAM,21093642,entities/Y1F9Eqg/attributes/Identifiers/2z0VlgYuP,0001AB000882595,TakedaUSCAM
entities/Y1GivTO,TakedaUSCAM,04011553,entities/Y1GivTO/attributes/Identifiers/141IZHmq2,0001AB000465405,TakedaUSCAM
entities/PxI90Y2,TakedaUSCAM,55102200,entities/PxI90Y2/attributes/Identifiers/2FopqRDn9,0001AB000010754,TakedaUSCAM
entities/Y1GnFze,TakedaUSCAM,57369200,entities/Y1GnFze/attributes/Identifiers/141IsV9EI,0001AB000011119,TakedaUSCAM
entities/SZkJKa5,TakedaUSCAM,94558209,entities/SZkJKa5/attributes/Identifiers/2z16riVKj,0001AB000015967,TakedaUSCAM
entities/dTDZpQt,TakedaUSCAM,95501203,entities/dTDZpQt/attributes/Identifiers/1u8FOuA0V,0001AB000251991,TakedaUSCAM
entities/dT03L3H,TakedaUSCAM,19805201,entities/dT03L3H/attributes/Identifiers/1u7ZpsC4V,0001AB000003706,TakedaUSCAM
entities/bzzZreh,TakedaUSCAM,08043200,entities/bzzZreh/attributes/Identifiers/143ppof9m,0001AB000002304,TakedaUSCAM
entities/Y1z48Be,TakedaUSCAM,89148154,entities/Y1z48Be/attributes/Identifiers/143VwBxrO,0001AB000347416,TakedaUSCAM
entities/PxdHR7G,TakedaUSCAM,58078008,entities/PxdHR7G/attributes/Identifiers/1BjKsoGAw,0001AB000011175,TakedaUSCAM
entities/SZrSOdJ,TakedaUSCAM,75093213,entities/SZrSOdJ/attributes/Identifiers/1a58YKl1x,0001AB001231644,TakedaUSCAM
entities/bzsoNXz,TakedaUSCAM,93514200,entities/bzsoNXz/attributes/Identifiers/2FpJ3cwxH,0001AB000007612,TakedaUSCAM
entities/PxAIdIE,TakedaUSCAM,75703191,entities/PxAIdIE/attributes/Identifiers/1BhulXNd0,0001AB001188122,TakedaUSCAM
entities/PxAJOB4,TakedaUSCAM,30038200,entities/PxAJOB4/attributes/Identifiers/1BhumSVXS,0001AB000007375,TakedaUSCAM
entities/bzmGqff,TakedaUSCAM,77030222,entities/bzmGqff/attributes/Identifiers/1w9DyPrq3,0001AB001200530,TakedaUSCAM
entities/P2Su1ez,TakedaUSCAM,90804200,entities/P2Su1ez/attributes/Identifiers/zHhXJgcz,0001AB000006808,TakedaUSCAM
entities/Y1DbgLy,TakedaUSCAM,61068201,entities/Y1DbgLy/attributes/Identifiers/1OZlXMLI4,0001AB001068972,TakedaUSCAM
entities/c02SBs7,TakedaUSCAM,00966413,entities/c02SBs7/attributes/Identifiers/1wA1HqpE7,0001AB000455188,TakedaUSCAM
entities/IIO4y92,TakedaUSCAM,14120178,entities/IIO4y92/attributes/Identifiers/uPgp6i0G,0001AB001131157,TakedaUSCAM
entities/Y1Ek98U,TakedaUSCAM,00680201,entities/Y1Ek98U/attributes/Identifiers/141CnMMhW,0001AB000237608,TakedaUSCAM
entities/bzfPWH1,TakedaUSCAM,06824190,entities/bzfPWH1/attributes/Identifiers/1w8skVyGF,0001AB001131104,TakedaUSCAM
entities/NNFvloK,TakedaUSCAM,25570155,entities/NNFvloK/attributes/Identifiers/1OaKVRHfg,0001AB001133615,TakedaUSCAM
entities/SZrUWlJ,TakedaUSCAM,37620200,entities/SZrUWlJ/attributes/Identifiers/1wAp2epwl,0001AB000008275,TakedaUSCAM
entities/1BzpKInR,TakedaUSCAM,40351202,entities/1BzpKInR/attributes/Identifiers/2z1xt4H21,0001AB000955303,TakedaUSCAM
entities/1PbVr7ex,TakedaUSCAM,95926215,entities/1PbVr7ex/attributes/Identifiers/34pnPhnih,0001AB001159295,TakedaUSCAM
entities/P2Yu95t,TakedaUSCAM,62223550,entities/P2Yu95t/attributes/Identifiers/zHz7FENF,0001AB000148499,TakedaUSCAM
entities/1BzFxSHh,TakedaUSCAM,93535157,entities/1BzFxSHh/attributes/Identifiers/2z0C7pUjx,0001AB000912175,TakedaUSCAM
entities/dT065Xb,TakedaUSCAM,23970200,entities/dT065Xb/attributes/Identifiers/1u7ZuLrCp,0001AB000004254,TakedaUSCAM
entities/bzmiYLf,TakedaUSCAM,57350201,entities/bzmiYLf/attributes/Identifiers/3PGHj599m,0001AB001099386,TakedaUSCAM
entities/NMhtHRk,TakedaUSCAM,80113200,entities/NMhtHRk/attributes/Identifiers/34rJGpkpL,0001AB000014337,TakedaUSCAM
entities/NMhxgEG,TakedaUSCAM,37421205,entities/NMhxgEG/attributes/Identifiers/1OYhDYNFM,0001AB000125076,TakedaUSCAM
entities/Y1RHNsA,TakedaUSCAM,40143200,entities/Y1RHNsA/attributes/Identifiers/141okVUqA,0001AB000008656,TakedaUSCAM
entities/P3TQJaD,TakedaUSCAM,96826173,entities/P3TQJaD/attributes/Identifiers/zKlCRkyf,0001AB001130184,TakedaUSCAM
entities/EtNmvQ1,TakedaUSCAM,30165200,entities/EtNmvQ1/attributes/Identifiers/3PGuXZ4vq,0001AB000148091,TakedaUSCAM
entities/1Bmp4lgl,TakedaUSCAM,14215201,entities/1Bmp4lgl/attributes/Identifiers/142NumulW,0001AB000003083,TakedaUSCAM
